student_index,predicted_category,confidence,risk_level,intervention_priority,top_recommendation
54,Medium,0.7446332707616797,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
55,Low,0.650453859991539,Critical,HIGH,Schedule one-on-one academic counseling within one week.
56,High,0.8758694171037468,Low,LOW,Maintain current support level; recognize positive performance.
57,High,0.8780228615686609,Low,LOW,Maintain current support level; recognize positive performance.
58,Low,0.5849190610979204,Critical,HIGH,Schedule one-on-one academic counseling within one week.
59,High,0.9223908779154223,Low,LOW,Maintain current support level; recognize positive performance.
60,Medium,0.7041310888139546,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
61,Medium,0.6057127880940449,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
62,Low,0.619949625638258,Critical,HIGH,Schedule one-on-one academic counseling within one week.
63,Low,0.8036976704310064,Critical,HIGH,Schedule one-on-one academic counseling within one week.
64,Medium,0.6600249320707513,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
65,High,0.9209590925204112,Low,LOW,Maintain current support level; recognize positive performance.
66,Medium,0.7356043816255305,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
67,Low,0.7752317694770303,Critical,HIGH,Schedule one-on-one academic counseling within one week.
68,Low,0.6894217890723201,Critical,HIGH,Schedule one-on-one academic counseling within one week.
69,High,0.8590030477312988,Low,LOW,Maintain current support level; recognize positive performance.
70,High,0.766330417693382,Low,LOW,Maintain current support level; recognize positive performance.
71,Medium,0.7816999082386631,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
72,Low,0.5599122770032157,Critical,HIGH,Schedule one-on-one academic counseling within one week.
73,High,0.527815372215534,Low,LOW,Maintain current support level; recognize positive performance.
74,Medium,0.749401515614247,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
75,Medium,0.5107645274849854,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
76,Medium,0.8040894763921286,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
77,Medium,0.7141966270809441,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
78,Medium,0.580975206667053,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
79,Low,0.8426758003749542,Critical,HIGH,Schedule one-on-one academic counseling within one week.
80,Medium,0.697061833493142,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
81,Medium,0.674933597907935,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
82,Low,0.8204712054266793,Critical,HIGH,Schedule one-on-one academic counseling within one week.
83,High,0.884001263009181,Low,LOW,Maintain current support level; recognize positive performance.
84,Medium,0.7576131286026311,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
85,Low,0.8144048799666439,Critical,HIGH,Schedule one-on-one academic counseling within one week.
86,Low,0.7143541561677235,Critical,HIGH,Schedule one-on-one academic counseling within one week.
87,High,0.9000696354816207,Low,LOW,Maintain current support level; recognize positive performance.
88,Medium,0.7039750001651423,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
89,Low,0.5630445515796371,Critical,HIGH,Schedule one-on-one academic counseling within one week.
90,Low,0.9185239678541082,Critical,HIGH,Schedule one-on-one academic counseling within one week.
91,High,0.9159660804844427,Low,LOW,Maintain current support level; recognize positive performance.
92,Low,0.7872485002024356,Critical,HIGH,Schedule one-on-one academic counseling within one week.
93,Medium,0.6991414806692933,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
94,High,0.5649988307935009,Low,LOW,Maintain current support level; recognize positive performance.
95,Medium,0.7787105075334817,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
96,High,0.6544830555914052,Low,LOW,Maintain current support level; recognize positive performance.
97,Low,0.702542042624702,Critical,HIGH,Schedule one-on-one academic counseling within one week.
98,High,0.7671772792751491,Low,LOW,Maintain current support level; recognize positive performance.
99,Low,0.8406063075745229,Critical,HIGH,Schedule one-on-one academic counseling within one week.
100,Low,0.8659094028659736,Critical,HIGH,Schedule one-on-one academic counseling within one week.
101,High,0.9540801360279584,Low,LOW,Maintain current support level; recognize positive performance.
102,Medium,0.6214738389052158,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
103,Low,0.7265417562964862,Critical,HIGH,Schedule one-on-one academic counseling within one week.
104,High,0.9256738810399903,Low,LOW,Maintain current support level; recognize positive performance.
105,Medium,0.7202065228595318,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
106,Low,0.5887421154439476,Critical,HIGH,Schedule one-on-one academic counseling within one week.
107,High,0.947828093158907,Low,LOW,Maintain current support level; recognize positive performance.
108,Medium,0.7837194205270479,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
109,High,0.9172898576504994,Low,LOW,Maintain current support level; recognize positive performance.
110,High,0.962898523368558,Low,LOW,Maintain current support level; recognize positive performance.
111,Medium,0.7396274848454459,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
112,Medium,0.7595953370524948,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
113,High,0.9252884317268818,Low,LOW,Maintain current support level; recognize positive performance.
114,Low,0.7406251178126503,Critical,HIGH,Schedule one-on-one academic counseling within one week.
115,High,0.9566197314477856,Low,LOW,Maintain current support level; recognize positive performance.
116,High,0.6577804720999504,Low,LOW,Maintain current support level; recognize positive performance.
117,High,0.5289100498607802,Low,LOW,Maintain current support level; recognize positive performance.
118,Low,0.6663935512498509,Critical,HIGH,Schedule one-on-one academic counseling within one week.
119,High,0.5052977491564186,Low,LOW,Maintain current support level; recognize positive performance.
120,High,0.902651058850384,Low,LOW,Maintain current support level; recognize positive performance.
121,High,0.8676099978327801,Low,LOW,Maintain current support level; recognize positive performance.
122,Medium,0.7408429355126771,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
123,Medium,0.7485890566555006,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
124,Low,0.9017321605331083,Critical,HIGH,Schedule one-on-one academic counseling within one week.
125,Medium,0.6996736382283535,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
126,Medium,0.5264960577916328,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
127,Low,0.7687048144279913,Critical,HIGH,Schedule one-on-one academic counseling within one week.
128,Low,0.8159112372586489,Critical,HIGH,Schedule one-on-one academic counseling within one week.
129,High,0.8793776000261717,Low,LOW,Maintain current support level; recognize positive performance.
130,Low,0.6912034915067725,Critical,HIGH,Schedule one-on-one academic counseling within one week.
131,Low,0.7503669292663062,Critical,HIGH,Schedule one-on-one academic counseling within one week.
132,Medium,0.5977961134350805,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
133,Medium,0.7890140239828392,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
134,Low,0.8151701024500406,Critical,HIGH,Schedule one-on-one academic counseling within one week.
135,Low,0.6581987758108043,Critical,HIGH,Schedule one-on-one academic counseling within one week.
136,Low,0.5176198494439239,Critical,HIGH,Schedule one-on-one academic counseling within one week.
137,Low,0.8690718439236782,Critical,HIGH,Schedule one-on-one academic counseling within one week.
138,Medium,0.6989420012406283,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
139,High,0.9528856135027648,Low,LOW,Maintain current support level; recognize positive performance.
140,Low,0.7707080525149584,Critical,HIGH,Schedule one-on-one academic counseling within one week.
141,Low,0.7141368726815158,Critical,HIGH,Schedule one-on-one academic counseling within one week.
142,Medium,0.739031590494518,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
143,High,0.7423702384989703,Low,LOW,Maintain current support level; recognize positive performance.
144,Low,0.8936853905918501,Critical,HIGH,Schedule one-on-one academic counseling within one week.
145,Medium,0.7383178168567768,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
146,Low,0.8203928408520738,Critical,HIGH,Schedule one-on-one academic counseling within one week.
147,Medium,0.8124159472396519,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
148,Low,0.8824488102659046,Critical,HIGH,Schedule one-on-one academic counseling within one week.
149,Medium,0.5434659202456057,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
150,Low,0.9567247201704867,Critical,HIGH,Schedule one-on-one academic counseling within one week.
151,High,0.576368186899431,Low,LOW,Maintain current support level; recognize positive performance.
152,Medium,0.7712792981871464,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
153,Low,0.7752385637715179,Critical,HIGH,Schedule one-on-one academic counseling within one week.
154,Medium,0.5834332525782024,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
155,Low,0.6575892157298349,Critical,HIGH,Schedule one-on-one academic counseling within one week.
156,Medium,0.6557755570541417,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
157,Medium,0.6033725486082203,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
158,High,0.7959315420217782,Low,LOW,Maintain current support level; recognize positive performance.
159,Medium,0.6734046220681843,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
160,Low,0.8435950909017649,Critical,HIGH,Schedule one-on-one academic counseling within one week.
161,Low,0.6520774522211424,Critical,HIGH,Schedule one-on-one academic counseling within one week.
162,Low,0.868359164060534,Critical,HIGH,Schedule one-on-one academic counseling within one week.
163,Medium,0.7381569583737435,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
164,Low,0.7608769125731576,Critical,HIGH,Schedule one-on-one academic counseling within one week.
165,Medium,0.8250907220607447,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
166,Medium,0.7761712491192236,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
167,High,0.8569117126119287,Low,LOW,Maintain current support level; recognize positive performance.
168,Low,0.8755686873809724,Critical,HIGH,Schedule one-on-one academic counseling within one week.
169,High,0.9016009815818145,Low,LOW,Maintain current support level; recognize positive performance.
170,Low,0.8288259691865955,Critical,HIGH,Schedule one-on-one academic counseling within one week.
171,High,0.6512423228977697,Low,LOW,Maintain current support level; recognize positive performance.
172,Medium,0.6513933324323685,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
173,Low,0.904214053700383,Critical,HIGH,Schedule one-on-one academic counseling within one week.
174,Low,0.5243840160517419,Critical,HIGH,Schedule one-on-one academic counseling within one week.
175,Low,0.6821155665691844,Critical,HIGH,Schedule one-on-one academic counseling within one week.
176,Medium,0.6802858171844091,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
177,Low,0.8663553238709945,Critical,HIGH,Schedule one-on-one academic counseling within one week.
178,Low,0.6506975770122564,Critical,HIGH,Schedule one-on-one academic counseling within one week.
179,Medium,0.7326043488449056,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
180,Low,0.7437940007447982,Critical,HIGH,Schedule one-on-one academic counseling within one week.
181,Medium,0.753233976992943,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
182,High,0.9292219065196966,Low,LOW,Maintain current support level; recognize positive performance.
183,Low,0.8002985444229707,Critical,HIGH,Schedule one-on-one academic counseling within one week.
184,Medium,0.6767901058028373,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
185,Medium,0.6999727233793763,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
186,Medium,0.7378917346383544,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
187,High,0.7994304783488296,Low,LOW,Maintain current support level; recognize positive performance.
188,Low,0.700965023384712,Critical,HIGH,Schedule one-on-one academic counseling within one week.
189,Low,0.5094712942682382,Critical,HIGH,Schedule one-on-one academic counseling within one week.
190,Medium,0.7894685462792126,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
191,Low,0.8711825883726914,Critical,HIGH,Schedule one-on-one academic counseling within one week.
192,Low,0.8549106922036348,Critical,HIGH,Schedule one-on-one academic counseling within one week.
193,Medium,0.5668613109728236,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
194,High,0.5436425243474269,Low,LOW,Maintain current support level; recognize positive performance.
195,High,0.8286321789356329,Low,LOW,Maintain current support level; recognize positive performance.
196,High,0.962603018432538,Low,LOW,Maintain current support level; recognize positive performance.
197,Medium,0.6282419333621954,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
198,High,0.8573403381637165,Low,LOW,Maintain current support level; recognize positive performance.
199,Medium,0.5228586971189016,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
200,High,0.9251885301986872,Low,LOW,Maintain current support level; recognize positive performance.
201,Medium,0.724030322151547,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
202,Medium,0.5340377893023273,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
203,Low,0.8811985526822396,Critical,HIGH,Schedule one-on-one academic counseling within one week.
204,Medium,0.7666098552614042,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
205,Low,0.771568785409631,Critical,HIGH,Schedule one-on-one academic counseling within one week.
206,Low,0.8225319074455869,Critical,HIGH,Schedule one-on-one academic counseling within one week.
207,Medium,0.6525400088381559,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
208,Medium,0.6610292985679045,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
209,Low,0.8465502340936085,Critical,HIGH,Schedule one-on-one academic counseling within one week.
210,Low,0.8025915974739238,Critical,HIGH,Schedule one-on-one academic counseling within one week.
211,Medium,0.8305817092943518,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
212,Medium,0.7121904816944322,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
213,Low,0.9141098502636434,Critical,HIGH,Schedule one-on-one academic counseling within one week.
214,Medium,0.7510149062322418,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
215,High,0.8785397817791645,Low,LOW,Maintain current support level; recognize positive performance.
216,Low,0.8752113951772844,Critical,HIGH,Schedule one-on-one academic counseling within one week.
217,Low,0.8709815090046884,Critical,HIGH,Schedule one-on-one academic counseling within one week.
218,Low,0.7509728641821305,Critical,HIGH,Schedule one-on-one academic counseling within one week.
219,Medium,0.6168040475639505,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
220,Low,0.8438529370180226,Critical,HIGH,Schedule one-on-one academic counseling within one week.
221,Low,0.8691197590149866,Critical,HIGH,Schedule one-on-one academic counseling within one week.
222,High,0.7818104845642092,Low,LOW,Maintain current support level; recognize positive performance.
223,Medium,0.8016667570786126,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
224,High,0.6084842368611163,Low,LOW,Maintain current support level; recognize positive performance.
225,Low,0.8970815530592822,Critical,HIGH,Schedule one-on-one academic counseling within one week.
226,High,0.8889992310809275,Low,LOW,Maintain current support level; recognize positive performance.
227,Medium,0.856828028821791,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
228,Low,0.6949113778152324,Critical,HIGH,Schedule one-on-one academic counseling within one week.
229,Medium,0.7848334522097784,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
230,High,0.585831931556831,Low,LOW,Maintain current support level; recognize positive performance.
231,Medium,0.8270404836356344,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
232,Low,0.6603673509857453,Critical,HIGH,Schedule one-on-one academic counseling within one week.
233,Medium,0.6049342460220649,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
234,Low,0.8147927498162781,Critical,HIGH,Schedule one-on-one academic counseling within one week.
235,Medium,0.6262377225717527,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
236,Medium,0.6607536451613066,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
237,Medium,0.6854752350619882,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
238,Medium,0.7912032278877196,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
239,Low,0.9254871054218813,Critical,HIGH,Schedule one-on-one academic counseling within one week.
240,Medium,0.7456362421178223,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
241,Medium,0.7296346599406547,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
242,Low,0.8472784579655672,Critical,HIGH,Schedule one-on-one academic counseling within one week.
243,Medium,0.5987037752302832,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
244,Low,0.9245010590888895,Critical,HIGH,Schedule one-on-one academic counseling within one week.
245,High,0.842251839072471,Low,LOW,Maintain current support level; recognize positive performance.
246,Medium,0.8232881251668551,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
247,Low,0.9020371817752826,Critical,HIGH,Schedule one-on-one academic counseling within one week.
248,Low,0.8647133055387363,Critical,HIGH,Schedule one-on-one academic counseling within one week.
249,High,0.7502417998503406,Low,LOW,Maintain current support level; recognize positive performance.
250,Low,0.9239369001040029,Critical,HIGH,Schedule one-on-one academic counseling within one week.
251,Medium,0.7487861134536185,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
252,Low,0.9020906464539235,Critical,HIGH,Schedule one-on-one academic counseling within one week.
253,Low,0.7581888677833727,Critical,HIGH,Schedule one-on-one academic counseling within one week.
254,Medium,0.7256283927010465,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
255,Low,0.8090918304152608,Critical,HIGH,Schedule one-on-one academic counseling within one week.
256,Medium,0.6601120297700173,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
257,Medium,0.6974478996983935,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
258,High,0.8366079855809688,Low,LOW,Maintain current support level; recognize positive performance.
259,Low,0.7240125103254844,Critical,HIGH,Schedule one-on-one academic counseling within one week.
260,High,0.7995041078442833,Low,LOW,Maintain current support level; recognize positive performance.
261,Low,0.7724252437471351,Critical,HIGH,Schedule one-on-one academic counseling within one week.
262,Medium,0.7440051568951573,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
263,Low,0.694397932660949,Critical,HIGH,Schedule one-on-one academic counseling within one week.
264,Low,0.6609603614490964,Critical,HIGH,Schedule one-on-one academic counseling within one week.
265,High,0.8061624467176074,Low,LOW,Maintain current support level; recognize positive performance.
266,Low,0.5104547871749081,Critical,HIGH,Schedule one-on-one academic counseling within one week.
267,Medium,0.7906523243716355,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
268,Low,0.5771462106066062,Critical,HIGH,Schedule one-on-one academic counseling within one week.
269,Low,0.8426127486174643,Critical,HIGH,Schedule one-on-one academic counseling within one week.
270,Low,0.8175936177587115,Critical,HIGH,Schedule one-on-one academic counseling within one week.
271,High,0.8631426785962184,Low,LOW,Maintain current support level; recognize positive performance.
272,Medium,0.7690761344696826,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
273,High,0.8510003964103179,Low,LOW,Maintain current support level; recognize positive performance.
274,Medium,0.7214652260598123,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
275,Medium,0.8165181914290901,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
276,Low,0.709672676499769,Critical,HIGH,Schedule one-on-one academic counseling within one week.
277,Low,0.811067397119716,Critical,HIGH,Schedule one-on-one academic counseling within one week.
278,Low,0.830542403139236,Critical,HIGH,Schedule one-on-one academic counseling within one week.
279,Medium,0.7520555964872377,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
280,Low,0.6924706817218201,Critical,HIGH,Schedule one-on-one academic counseling within one week.
281,Medium,0.7347423397482835,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
282,Medium,0.7752576330917109,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
283,Medium,0.5670231127631269,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
284,Medium,0.5260695489010847,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
285,Medium,0.810370415169765,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
286,High,0.8257510996947617,Low,LOW,Maintain current support level; recognize positive performance.
287,Medium,0.7211759226260352,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
288,High,0.8920844913575797,Low,LOW,Maintain current support level; recognize positive performance.
289,High,0.813010906441135,Low,LOW,Maintain current support level; recognize positive performance.
290,Medium,0.7705625020777463,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
291,High,0.9298945668768743,Low,LOW,Maintain current support level; recognize positive performance.
292,Medium,0.742393586436587,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
293,High,0.8286154293379729,Low,LOW,Maintain current support level; recognize positive performance.
294,High,0.6744961976240746,Low,LOW,Maintain current support level; recognize positive performance.
295,Medium,0.6249102717457401,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
296,Low,0.7360660787660359,Critical,HIGH,Schedule one-on-one academic counseling within one week.
297,Low,0.6924744794977836,Critical,HIGH,Schedule one-on-one academic counseling within one week.
298,High,0.7518728097292988,Low,LOW,Maintain current support level; recognize positive performance.
299,High,0.8826925897680438,Low,LOW,Maintain current support level; recognize positive performance.
300,Medium,0.7817348972848395,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
301,Medium,0.7371676122161138,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
302,High,0.640655880464886,Low,LOW,Maintain current support level; recognize positive performance.
303,High,0.8700021620448151,Low,LOW,Maintain current support level; recognize positive performance.
304,High,0.5017168022022893,Low,LOW,Maintain current support level; recognize positive performance.
305,Medium,0.7113158958461177,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
306,High,0.761278023942937,Low,LOW,Maintain current support level; recognize positive performance.
307,Low,0.8553993861079572,Critical,HIGH,Schedule one-on-one academic counseling within one week.
308,Medium,0.7347681408830301,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
309,Medium,0.8298609211888862,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
310,Low,0.8305399489459458,Critical,HIGH,Schedule one-on-one academic counseling within one week.
311,Medium,0.7434868942920742,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
312,Medium,0.8325339855638777,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
313,Medium,0.7610145605152457,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
314,Medium,0.6834433683458123,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
315,Medium,0.7207286132156722,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
316,Low,0.861230051332249,Critical,HIGH,Schedule one-on-one academic counseling within one week.
317,Low,0.6812340958370272,Critical,HIGH,Schedule one-on-one academic counseling within one week.
318,Medium,0.801345854181092,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
319,Medium,0.7722344699355601,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
320,Medium,0.727112494007219,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
321,Low,0.6631278346891668,Critical,HIGH,Schedule one-on-one academic counseling within one week.
322,Medium,0.857707508712304,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
323,High,0.7659852389580641,Low,LOW,Maintain current support level; recognize positive performance.
324,High,0.8471818317409918,Low,LOW,Maintain current support level; recognize positive performance.
325,Medium,0.7284989024323728,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
326,High,0.860901479109789,Low,LOW,Maintain current support level; recognize positive performance.
